t,<H_sys>,P_1,P_2
536000,1.846926e-02,1.575985e-05,5.354950e-02
538000,1.846846e-02,1.606067e-05,5.380750e-02
540000,1.846766e-02,1.636577e-05,5.406624e-02
542000,1.846686e-02,1.667519e-05,5.432562e-02
544000,1.846606e-02,1.698897e-05,5.458524e-02
546000,1.846527e-02,1.730715e-05,5.484456e-02
548000,1.846448e-02,1.762976e-05,5.510312e-02
550000,1.846369e-02,1.795685e-05,5.536071e-02
552000,1.846291e-02,1.828845e-05,5.561750e-02
554000,1.846212e-02,1.862460e-05,5.587392e-02
556000,1.846133e-02,1.896533e-05,5.613049e-02
558000,1.846053e-02,1.931069e-05,5.638763e-02
560000,1.845973e-02,1.966071e-05,5.664547e-02
562000,1.845892e-02,2.001544e-05,5.690379e-02
564000,1.845812e-02,2.037491e-05,5.716212e-02
566000,1.845732e-02,2.073916e-05,5.741992e-02
568000,1.845653e-02,2.110822e-05,5.767684e-02
570000,1.845574e-02,2.148214e-05,5.793281e-02
572000,1.845496e-02,2.186096e-05,5.818809e-02
574000,1.845419e-02,2.224471e-05,5.844318e-02
576000,1.845341e-02,2.263343e-05,5.869857e-02
578000,1.845263e-02,2.302717e-05,5.895458e-02
580000,1.845184e-02,2.342595e-05,5.921120e-02
582000,1.845105e-02,2.382982e-05,5.946812e-02
584000,1.845026e-02,2.423882e-05,5.972481e-02
586000,1.844947e-02,2.465299e-05,5.998081e-02
588000,1.844868e-02,2.507236e-05,6.023586e-02
590000,1.844789e-02,2.549697e-05,6.049002e-02
592000,1.844710e-02,2.592687e-05,6.074365e-02
594000,1.844631e-02,2.636208e-05,6.099726e-02
596000,1.844553e-02,2.680266e-05,6.125128e-02
598000,1.844475e-02,2.724864e-05,6.150592e-02
600000,1.844397e-02,2.770005e-05,6.176104e-02
602000,1.844319e-02,2.815694e-05,6.201624e-02
604000,1.844241e-02,2.861935e-05,6.227101e-02
606000,1.844164e-02,2.908731e-05,6.252495e-02
608000,1.844086e-02,2.956086e-05,6.277792e-02
610000,1.844009e-02,3.004005e-05,6.303010e-02
612000,1.843931e-02,3.052491e-05,6.328194e-02
614000,1.843853e-02,3.101548e-05,6.353391e-02
616000,1.843775e-02,3.151180e-05,6.378637e-02
618000,1.843697e-02,3.201390e-05,6.403940e-02
620000,1.843619e-02,3.252184e-05,6.429275e-02
622000,1.843540e-02,3.303564e-05,6.454596e-02
624000,1.843462e-02,3.355534e-05,6.479856e-02
626000,1.843385e-02,3.408099e-05,6.505024e-02
628000,1.843308e-02,3.461262e-05,6.530098e-02
630000,1.843230e-02,3.515027e-05,6.555108e-02
632000,1.843154e-02,3.569399e-05,6.580099e-02
634000,1.843077e-02,3.624380e-05,6.605117e-02
636000,1.843000e-02,3.679975e-05,6.630188e-02
638000,1.842923e-02,3.736188e-05,6.655305e-02
640000,1.842846e-02,3.793022e-05,6.680436e-02
642000,1.842769e-02,3.850481e-05,6.705533e-02
644000,1.842692e-02,3.908570e-05,6.730554e-02
646000,1.842615e-02,3.967292e-05,6.755478e-02
648000,1.842538e-02,4.026651e-05,6.780317e-02
650000,1.842462e-02,4.086651e-05,6.805108e-02
652000,1.842385e-02,4.147295e-05,6.829897e-02
654000,1.842307e-02,4.208589e-05,6.854723e-02
656000,1.842230e-02,4.270534e-05,6.879599e-02
658000,1.842153e-02,4.333136e-05,6.904508e-02
660000,1.842076e-02,4.396398e-05,6.929412e-02
662000,1.841999e-02,4.460323e-05,6.954262e-02
664000,1.841923e-02,4.524917e-05,6.979025e-02
666000,1.841848e-02,4.590182e-05,7.003693e-02
668000,1.841772e-02,4.656123e-05,7.028287e-02
670000,1.841697e-02,4.722742e-05,7.052849e-02
672000,1.841622e-02,4.790045e-05,7.077424e-02
674000,1.841546e-02,4.858035e-05,7.102042e-02
676000,1.841469e-02,4.926715e-05,7.126704e-02
678000,1.841393e-02,4.996090e-05,7.151385e-02
680000,1.841316e-02,5.066163e-05,7.176040e-02
682000,1.841239e-02,5.136938e-05,7.200626e-02
684000,1.841163e-02,5.208418e-05,7.225118e-02
686000,1.841087e-02,5.280609e-05,7.249520e-02
688000,1.841011e-02,5.353512e-05,7.273861e-02
690000,1.840936e-02,5.427133e-05,7.298187e-02
692000,1.840861e-02,5.501474e-05,7.322538e-02
694000,1.840786e-02,5.576540e-05,7.346932e-02
696000,1.840711e-02,5.652335e-05,7.371362e-02
698000,1.840636e-02,5.728861e-05,7.395792e-02
700000,1.840561e-02,5.806123e-05,7.420179e-02
702000,1.840486e-02,5.884125e-05,7.444484e-02
704000,1.840411e-02,5.962870e-05,7.468695e-02
706000,1.840335e-02,6.042361e-05,7.492824e-02
708000,1.840260e-02,6.122604e-05,7.516909e-02
710000,1.840185e-02,6.203600e-05,7.540993e-02
712000,1.840110e-02,6.285355e-05,7.565109e-02
714000,1.840035e-02,6.367871e-05,7.589266e-02
